model_id,model_type,hash,tally,updated_at,context_id,context_type
9322,App\Models\CatalystExplorer\Proposal,d450fba2dae38490595b9bf3f493654dc162669fb8af3c42c5b4a94aa415fd68,150,2023-09-26 15:38:02,113,App\Models\Fund
8016,App\Models\CatalystExplorer\Proposal,bf186f274a802b6d6c18b4306a805f369bd4f0d29554b6ef648fd180213efb12,257,2023-09-26 15:38:37,113,App\Models\Fund
9167,App\Models\CatalystExplorer\Proposal,64e7a9690676c0e77d7437a0c1be76af0cc0b44453d37b410c90e6a95d36347e,230,2023-09-26 15:37:44,113,App\Models\Fund
8038,App\Models\CatalystExplorer\Proposal,2ff2fadfb08bd6e800aea7282a58685d8dc5f12c6270a3fab817e0094f30bdff,508,2023-09-26 15:38:39,113,App\Models\Fund
8433,App\Models\CatalystExplorer\Proposal,437867b9eb52d77e68453d29c6db5330c56c6f40e4730c4fce7a336424e1f9d1,227,2023-09-26 15:39:25,113,App\Models\Fund
9344,App\Models\CatalystExplorer\Proposal,99b6267d5afcef9a00ef3bf755eb311e4b9d9546fcb2b214ee1800eb1c587c2b,173,2023-09-26 15:38:05,113,App\Models\Fund
9429,App\Models\CatalystExplorer\Proposal,657f85dccc06a656a52368b82479c66dd2316ba5b903928783cc9b4810d72f6c,189,2023-09-26 15:38:14,113,App\Models\Fund
8277,App\Models\CatalystExplorer\Proposal,95dfa282ce4fbd2b1b8851bc6326b814d37d76cfa727465d393cdcf85299a8aa,222,2023-09-26 15:39:08,113,App\Models\Fund
8710,App\Models\CatalystExplorer\Proposal,8e315a52af1fad08102b08dcf9b6ed00a8f8156a26dddb8e291bc0cf702b323b,816,2023-09-26 15:39:45,113,App\Models\Fund
9208,App\Models\CatalystExplorer\Proposal,71853d1a79f69c7f8bbf7e748a4e64c671e54d8ca2d2c3f7014026c92aa97d7a,206,2023-09-26 15:37:49,113,App\Models\Fund
9711,App\Models\CatalystExplorer\Proposal,b37bf5a0f1286dbeb4cc3a31118ed3a456c055c3468dd21f222939c6ed842673,354,2023-09-26 15:37:19,113,App\Models\Fund
7964,App\Models\CatalystExplorer\Proposal,515cf3a40d5074d374030d5b9d970b7a13d22cb77d83d73011dfcb1082446067,295,2023-09-26 15:38:32,113,App\Models\Fund
8352,App\Models\CatalystExplorer\Proposal,058373152aab7a9c51ffb25c94a65f3a26961757133956f8f5d5e1b0207485db,256,2023-09-26 15:36:59,113,App\Models\Fund
7992,App\Models\CatalystExplorer\Proposal,e035dc99ebf0e2daa943d076b4c074f5da91c9e8a977d9901df87bc74a348b94,152,2023-09-26 15:38:34,113,App\Models\Fund
8746,App\Models\CatalystExplorer\Proposal,bc5e6a8287c39adf08da7636b1f135b769a577da3218fb9291999e99ee2829f3,167,2023-09-26 15:39:11,113,App\Models\Fund
9588,App\Models\CatalystExplorer\Proposal,e16539fdba53c4ce4ca964dea2fded748b9c0e02245006e6bc088f01f6c75668,179,2023-09-26 15:38:20,113,App\Models\Fund
8024,App\Models\CatalystExplorer\Proposal,dc87fd4fba0d59faf70251285e04e3c2687b6ac497913677d5d6de28613c79c2,172,2023-09-26 15:38:37,113,App\Models\Fund
8827,App\Models\CatalystExplorer\Proposal,b5f447a118295d7db971aee93dd0cf27905b654e9a5859ca46e5423e78821753,167,2023-09-26 15:39:29,113,App\Models\Fund
8953,App\Models\CatalystExplorer\Proposal,a02f0669966fcf2d7dd314841926a8e1a120e86abe5d9b39cdb1016f2c6c5ffd,208,2023-09-26 15:39:41,113,App\Models\Fund
9249,App\Models\CatalystExplorer\Proposal,a3ecf35e6e91ae018306a2d1379d7e87d30facdd6270464f105c8bd2d03ed97d,245,2023-09-26 15:37:53,113,App\Models\Fund
9380,App\Models\CatalystExplorer\Proposal,3178318c0ddc556539775d6b432d84ac99c9896747ce63254202717b3183876e,196,2023-09-26 15:38:09,113,App\Models\Fund
9328,App\Models\CatalystExplorer\Proposal,1a475231abbc9da69b88cbd60144b8a721eaf90073cd0affdb6acd361365f9ce,178,2023-09-26 15:38:03,113,App\Models\Fund
9455,App\Models\CatalystExplorer\Proposal,9083b15563b5cb337644a5239d4f4e5ff604c63fdfda39e1529adc04783c5b02,728,2023-09-26 15:38:17,113,App\Models\Fund
9637,App\Models\CatalystExplorer\Proposal,83465d5fde8b4ec064adeaec9f864d1ffb345c17031cb949bd1cfdb68e899013,184,2023-09-26 15:38:27,113,App\Models\Fund
9647,App\Models\CatalystExplorer\Proposal,31898b3b17231891b3ea8348a22f0d9b8962003c12fcf12a3b85a8579d7a5baa,355,2023-09-26 15:38:28,113,App\Models\Fund
9621,App\Models\CatalystExplorer\Proposal,dceeeea3426b519b5d1cb0e1e0e34bb538e69b3a8add80d8e2e1ddd25fdfbc91,500,2023-09-26 15:38:24,113,App\Models\Fund
8058,App\Models\CatalystExplorer\Proposal,886591282d405d90ea01eb1d93f9fc32e052d0a4170effd82b419d9eca8e7e4e,297,2023-09-26 15:38:42,113,App\Models\Fund
